# AmiraMesh 3D ASCII 2.0
# CreationDate: Mon Apr 21 13:33:26 2008


define Markers 439

Parameters {
    NumSets 2,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Coordinates2 } @2

# Data section follows
@1
  31.3938 9.44396 -630.264
  19.0192 10.935 -631.58
  9.99988 8.81365 -631.486
  3.8659 3.30955 -631.515
  -19.6942 -4.92686 -625.322
  -21.391 -14.655 -626.746
  -28.9629 -19.0262 -626.681
  -35.0086 -19.5302 -626.232
  -45.498 -17.0542 -624.859
  -53.4171 -11.4782 -620.388
  -55.6332 -7.0414 -616.821
  -56.324 -2.06878 -616.458
  -55.2833 5.79331 -621.442
  -49.964 9.19978 -628.058
  -39.8803 9.93785 -629.937
  -26.9069 5.81651 -630.089
  -22.2918 2.69451 -630.636
  0.653671 7.90772 -636.323
  4.47151 19.122 -637.203
  1.5383 26.9439 -638.545
  -4.92221 29.6925 -641.347
  -12.062 30.2298 -640.313
  -21.4527 27.0336 -638.671
  -24.5578 19.2809 -636.375
  -20.585 8.3189 -635.245
  -15.7517 1.96062 -635.198
  -67.34 20.0813 -561.652
  -69.3072 19.5379 -572.374
  -71.3606 17.8894 -581.868
  -71.9248 16.025 -591.794
  -68.854 14.4831 -602.18
  -65.1763 9.31464 -609.271
  -63.9992 0.362652 -606.083
  -62.6869 -4.71465 -607.023
  -61.1949 -9.83891 -608.532
  -57.0289 -18.9435 -613.49
  -47.1947 -23.6741 -621.568
  -35.8616 -28.0057 -626.492
  -21.1386 -26.5692 -631.452
  -11.6755 -21.8907 -632.606
  -5.68426 -22.3155 -632.55
  1.3986 -27.997 -631.38
  10.6403 -28.6214 -630.399
  23.2188 -25.4732 -626.071
  32.1194 -22.4723 -621.589
  39.5738 -18.2732 -614.219
  42.4161 -11.2166 -609.556
  44.2842 -3.84928 -608.255
  45.5542 5.41884 -609.427
  47.5887 14.6277 -607.964
  49.6952 15.6963 -599.94
  51.8552 16.892 -587.966
  50.5034 18.8554 -578.486
  48.4697 20.9164 -569.208
  47.6625 20.1332 -558.463
  -66.309 25.9262 -579.435
  -69.8888 25.6438 -592.168
  -67.4074 31.5637 -606.243
  -61.9796 32.6957 -616.448
  -53.9802 34.0833 -622.332
  -46.3902 31.562 -623.964
  -42.6548 36.8285 -625.68
  44.4665 27.615 -569.614
  48.0302 26.3274 -582.336
  48.874 26.4231 -591.803
  47.925 31.597 -600.825
  44.8486 34.51 -610.313
  40.8641 34.0684 -616.81
  34.9942 36.3643 -621.613
  27.1798 33.1692 -624.597
  21.7062 38.4602 -628.0
  -42.2592 43.4101 -606.281
  -42.7013 44.7838 -621.718
  -41.3156 44.3357 -628.246
  -34.6848 42.0414 -640.147
  -25.667 39.6079 -649.083
  -14.8363 39.199 -653.097
  -4.33273 39.8942 -652.519
  6.26096 41.3711 -649.171
  14.4433 44.74 -639.49
  19.8179 46.4184 -631.615
  21.8754 45.7665 -618.546
  20.5414 45.6935 -605.571
  -7.9801 -20.3588 -632.515
  -7.86813 -32.1515 -629.178
  -7.36829 -46.8137 -625.262
  -5.8766 -59.2837 -619.183
  -4.87523 -67.9763 -609.206
  -4.31214 -75.8233 -595.724
  -5.20683 -81.3491 -582.297
  -5.48688 -84.316 -565.916
  -6.5357 -84.2862 -551.812
  -7.52937 -80.9294 -535.043
  -7.03189 -75.6163 -518.257
  -8.21824 -71.2524 -504.163
  -9.11773 -65.8419 -491.296
  -8.82607 -54.1204 -475.067
  -7.72785 -44.09 -466.511
  -7.71421 -32.7676 -459.592
  -9.34852 -21.099 -455.161
  -9.64482 -8.49027 -453.531
  -9.25133 5.80403 -453.667
  -10.1052 19.8242 -457.59
  -10.0678 33.1087 -462.861
  -8.77679 43.3663 -470.033
  -8.88452 52.2312 -483.722
  -8.13701 55.4117 -496.233
  -8.96575 58.6439 -504.192
  -9.52961 58.0739 -516.259
@2
-9.836329959264004	38.25971044874953	-635.5991198746009
-10.85552985544076	20.822353131910244	-635.7351258542661
-11.385368726443602	-5.098794888779985	-634.1715999541796
-8.859137407153517	-16.159097619113403	-620.6552737057193
-9.528739954721452	-26.550748383122514	-620.4043183368602
-4.857665349485698	-81.07690409590515	-544.5761040179294
5.760781477843164	38.1663342151799	-630.5351661132139
-6.1204600119249655	-2.540964663916256	-630.4670011020963
-4.572123591123173	-13.125202111198213	-619.9978123165738
-0.943078778298462	-10.408434906494895	-617.1456446440906
17.105239766729856	9.652678165970283	-620.0969141863307
32.21203898853612	-7.842228517783761	-604.6366375416916
29.39629928205667	28.776723812687703	-607.8923729830341
35.4752800946672	-22.30542103815084	-597.6743231648236
37.449955217116894	-1.4586573912251772	-598.5460940639273
38.42009380622403	11.54768378536691	-596.4921412124697
44.34160046902156	-17.57316156548174	-578.3166110962053
44.532082061628216	21.29630435528181	-558.8671210232442
37.25717395992076	48.59286888188318	-549.3404552646065
38.99540340433161	43.39977492724505	-517.3325780493508
-25.195134243948488	39.197722482306816	-629.1794132715185
-16.211248041106945	1.7368616224867388	-631.0524414041406
-13.097649786253834	-12.778559180406967	-621.2154160060694
-17.0691027151209	-10.664694594792877	-617.4139852507511
-33.40762374647538	8.424627280196063	-619.417686353974
-49.64953747435325	-8.86515502589608	-604.2827596255713
-47.91972980369536	25.462578278163843	-606.8815666726352
-52.17181087750252	-19.951286705705037	-596.6736305692239
-53.447242452897655	-4.764275029567966	-598.092839061327
-53.93524845225201	7.409786375323087	-595.5741615701551
-60.90337410762636	-22.972649421876213	-575.6455122167143
-60.506587490149386	19.424582099637124	-554.4158687859298
-55.21896961802099	45.132847172725505	-549.5652681736166
-56.624414041805366	41.44685910026659	-521.5735423300509
-8.817105445438072	-10.991865333638911	-462.1426643255436
-10.169151889079643	55.21677778200994	-526.2743195817194
-9.195029693515767	38.428747406069775	-557.9449138817752
-8.95701371445411	34.640157288607654	-594.911953259653
-9.883358521932799	34.93590390013695	-627.5789872371881
-3.9922658912201188	-25.651083172481982	-619.9168316106126
3.951761907297355	-27.46616414767304	-617.0932859367076
11.88361869617113	-27.658172583277157	-614.3527266315039
20.699414874471938	-25.26631883507415	-611.2742481158222
28.69119567201267	-18.407627614430112	-608.0356514949219
32.912070133291536	-12.321092054976436	-605.0223598465452
-1.1708522427766788	-35.75520253745955	-617.2222880599526
-2.1071767506560217	-46.822101311994956	-614.282303923559
-1.379154467673981	-57.863000524269125	-608.2185356202901
-2.671723497901353	-66.73420964800536	-599.0049205448885
-2.480926636478567	-71.84304523680716	-589.9916988454571
-1.708375561203292	-76.03934281083754	-579.8622846535768
-0.651718547326352	-79.44254867767442	-568.3844561261608
0.5368602478105853	-81.04486730373665	-553.2998150188041
7.9768341598011645	-37.7705816844676	-613.814634817683
9.608098958708265	-49.30923473039816	-610.7170521791855
8.49089028265183	-59.20924669445539	-604.3901890430434
9.30941273791223	-66.8635401752549	-594.3304210551344
9.5601681872744	-71.72870114934418	-584.391940905899
10.526168214738085	-75.69669792940141	-572.7497416162159
12.365753888531504	-77.73104741583916	-558.9324408493995
17.46891646936531	-34.384595793912666	-610.548310065759
19.757093137320883	-43.979696786135236	-607.9910770530773
19.074784748189625	-55.4447301547889	-602.6133308855617
19.908221624637868	-60.958457834508636	-594.6229010553144
20.85085390157837	-65.41792918447081	-585.1707842538457
23.351659648155685	-68.86135037343374	-574.9912843117771
24.508824228330045	-71.74441929747755	-561.2196389674017
27.783681629785914	-25.822594419571104	-606.2317323907992
28.773913642285454	-35.3376478553851	-602.7345120109158
30.3311154144312	-46.49082773483718	-597.6119566497819
30.849082502849438	-54.349830696159174	-590.110447340456
34.23741282044048	-58.01533599115905	-579.0883075220419
36.214875224432035	-61.280834456016294	-567.5553330322508
34.48632614919376	-17.8413262686105	-600.3424094614494
36.360561812050335	-29.657684862375305	-596.0477331420544
38.419347883940546	-38.53165717596881	-591.0764686357111
40.88060330776878	-44.56073188180561	-583.8780087624149
43.850861645722176	-48.03295020280288	-573.8579599583261
46.29821200090686	-34.58856653047114	-578.4537787598616
42.80279506566741	-26.203813016235436	-585.9344803789595
-13.46023200147964	-25.239433854714534	-619.8193166140487
-18.990560561847996	-26.491592807635257	-617.854973208913
-26.417838583560442	-28.26663498471488	-615.2628173039564
-35.85953994190645	-26.225427157560173	-612.3474012648622
-43.848752060819365	-22.871556064836955	-608.6059699396586
-48.66661832774507	-16.71214158362689	-605.5127292714551
-13.70596935992863	-35.12386927522503	-618.0291277089435
-13.143514428405279	-47.36372333883884	-614.3483908112019
-13.251711151243043	-58.27698203227696	-608.1384208611994
-14.189945029820096	-66.0519887571956	-599.5143068448093
-14.095383395326287	-71.67919411105359	-589.4373704200655
-14.486555552376222	-75.99699332793955	-579.3483816047311
-13.710475703485761	-79.56990192101827	-567.9379911945234
-13.821580220324396	-81.32380325342444	-553.0939002581791
-23.06508730623675	-38.06353033363962	-614.4380477067098
-24.07374934096498	-49.81829177785194	-610.8260016294211
-24.74326751801393	-59.45633279125754	-603.7709384817424
-25.97016211864798	-66.20074495225516	-594.1137755864828
-25.25255397381791	-71.47070627931875	-583.9187844953613
-25.66201164475308	-75.65620674737526	-571.7039808780314
-26.28599077752729	-78.03247975218791	-558.2658531379573
-32.124357057655715	-34.078775314990494	-611.969330253835
-33.98706401629191	-46.553746510000494	-608.480692701462
-34.5399295791628	-56.40733552979215	-602.440566249654
-36.04640818038608	-61.531681939321885	-593.5198839369124
-36.35692777285994	-66.32932744903266	-583.9824281750948
-38.00621717185656	-69.67610032346319	-573.5278148069541
-38.662109690422916	-72.4744408843011	-560.5928011301847
-43.00917353361423	-30.31248279593354	-606.6014721964897
-44.18776714161092	-38.915310859048844	-602.9643613111928
-45.616562409078426	-48.69682302383815	-597.378999512543
-46.63935723335902	-55.31296409376964	-588.427081853823
-48.99422489886217	-59.211355165620944	-578.1870902450853
-50.37505274524216	-62.4300819528751	-565.605170173023
-50.57252435702411	-23.313380320999084	-600.5314461154765
-51.90786147789018	-33.227556849911366	-596.6959219957855
-53.91188352095874	-41.26599667762248	-590.211126513699
-55.676293741289726	-47.13001552362759	-582.3231738304971
-57.52547003021314	-50.55348557764988	-572.9884701328529
-60.640123169634705	-38.617106443991574	-577.4831352840846
-58.98902629135017	-30.863723923522464	-585.6037045217906
-0.043148937986124736	-78.91961167520505	-537.9411512130924
-0.3045020947081909	-76.6278681849831	-521.9260853738955
1.7395557061737197	-73.33860047971959	-507.4167832081732
0.8795356006924635	-67.97072507023523	-494.42216471281745
1.0792407749200112	-58.513195006734776	-482.35834123757655
13.571141667445307	-77.09121786214546	-544.4275421444104
13.888403035317939	-74.94454913938603	-533.5416056234102
13.02484089254241	-73.160824297085	-519.8575598071126
13.576347430321963	-69.3061004588485	-505.3171681535449
13.808166124056068	-63.444442278984496	-493.43493435945925
26.030660491369385	-71.72196281571799	-547.628193521274
26.165393376520246	-69.41383062161209	-531.421281502501
26.929598406187328	-65.82241261281474	-515.6301290728063
26.924658698046468	-60.539176715390866	-499.7774307115257
0.260089058033671	-46.01305406337947	-473.3891601182717
-0.028161462213910582	-33.314945590465	-467.0422726475417
13.346692738903329	-52.91079479116809	-481.42367938297565
13.023674949523276	-39.74221853603606	-473.11226393872295
12.446173701439474	-25.847238888932228	-467.8598134794151
11.961915946069986	-9.926469066964831	-465.296846603247
26.786083546264802	-49.96278776198838	-485.9543511116834
27.22899397279497	-35.73232580390102	-477.2059811647466
26.787349932079675	-19.685674151075307	-472.80626895317465
24.875129256130624	-1.5117381884611447	-470.70553627274614
36.944430455726945	-63.78384969039399	-551.1762039736857
38.35622777657903	-61.97835795625093	-538.3346867112233
39.43780169660283	-59.23339308239038	-526.516330408337
41.26764937435132	-54.82898390776947	-512.7599978045371
42.01207880934133	-47.86082776967882	-498.87483810640373
41.86591571857676	-38.768657751095986	-489.6323000073541
40.47904499317548	-27.12220587387466	-483.58287399066324
37.82779869969674	-12.788475266279985	-480.31157244688313
34.921068001456845	5.367975883652132	-479.87193703117
47.0987426013469	-52.2885416874166	-555.7526161843161
48.205257085457134	-51.504353188348446	-543.077933079033
50.188330093018706	-48.049854437560896	-529.4996173841452
52.047285659377536	-44.27412759142529	-518.5351759674221
52.87891727073449	-36.671661178008584	-504.4230772455563
50.9881657562881	-25.82693652762248	-495.83801868184844
46.61501923783027	-6.696278966122566	-491.6107188693542
41.805249981165446	12.863515788506174	-491.5349370952622
51.60895964068699	-38.09748028489701	-562.4960286882067
54.89034491765764	-36.918455827784754	-546.4291002287929
56.94696834052628	-34.49627772488893	-530.3843236709257
57.72478411065855	-23.9986144323442	-513.0393627441487
53.79251141522043	-6.83927715304186	-506.1230949296671
43.584095584629125	25.40213541690758	-504.0040575599026
50.33117329804587	-24.1375710629504	-570.0626091902639
54.04315107696259	-26.56824539190312	-560.2064682434378
57.2381631781367	-24.037048762948938	-546.5671940396546
58.899239750477705	-20.09044968695199	-534.8193236198931
58.33995788138121	-8.80522188278281	-524.8268630507492
54.535141913038515	6.127877936662088	-518.7243515963482
49.13077694970424	12.261331763631283	-506.3949419432014
44.678333301009744	36.45351662360579	-517.2979618098946
54.112515960220406	-12.891374464903896	-562.2448562483157
58.18138602723151	-10.971131527800603	-549.5477357142696
58.56343188760796	-1.5502307422438246	-538.6273237505869
